Date,Opp,Dec,DR,H,ER,BB,SO,HR,HBP,FIP,Outs,points,QS,pitcher,code
2023-04-05,PHI,1,5,3,1,3,8,0,0,1.39,19,22,1.0,Gerrit Cole,colege01
2023-04-11,CLE,1,5,5,2,2,3,0,0,2.07,21,16,1.0,Gerrit Cole,colege01
2023-04-16,MIN,1,4,2,0,1,10,0,0,1.85,27,37,1.0,Gerrit Cole,colege01
2023-04-22,TOR,0,5,4,0,2,4,0,1,2.11,17,14,0.0,Gerrit Cole,colege01
2023-04-27,TEX,1,4,6,2,1,8,0,0,1.98,20,20,1.0,Gerrit Cole,colege01
2023-05-02,CLE,0,4,5,2,3,8,0,1,2.06,18,13,1.0,Gerrit Cole,colege01
2023-05-07,TBR,0,4,8,5,2,6,2,0,2.56,15,1,0.0,Gerrit Cole,colege01
2023-05-12,TBR,0,4,5,2,2,4,2,0,3.05,15,8,0.0,Gerrit Cole,colege01
2023-05-17,TOR,0,4,7,0,2,6,0,0,2.97,18,15,1.0,Gerrit Cole,colege01
2023-05-23,BAL,0,5,6,5,3,2,2,0,3.45,15,-2,0.0,Gerrit Cole,colege01
2023-05-28,SDP,1,4,4,5,3,9,2,0,3.66,18,13,0.0,Gerrit Cole,colege01
2023-06-03,LAD,1,5,4,1,2,5,0,1,3.62,18,17,1.0,Gerrit Cole,colege01
2023-06-09,BOS,-1,5,7,2,1,6,1,1,3.68,18,8,1.0,Gerrit Cole,colege01
2023-06-14,NYM,0,4,4,1,0,8,0,0,3.48,18,20,1.0,Gerrit Cole,colege01
2023-06-20,SEA,1,5,4,1,1,8,0,1,3.36,22,25,1.0,Gerrit Cole,colege01
2023-06-25,TEX,0,4,9,3,1,7,1,0,3.37,14,5,0.0,Gerrit Cole,colege01
2023-07-02,STL,-1,6,6,2,2,5,0,1,3.36,18,7,1.0,Gerrit Cole,colege01
2023-07-08,CHC,1,5,5,3,1,5,1,0,3.4,22,18,1.0,Gerrit Cole,colege01
2023-07-16,COL,0,7,2,1,1,11,1,0,3.35,18,24,1.0,Gerrit Cole,colege01
2023-07-22,KCR,0,5,5,2,1,10,1,0,3.31,19,19,1.0,Gerrit Cole,colege01
2023-07-28,BAL,0,5,3,0,0,5,0,0,3.23,21,23,1.0,Gerrit Cole,colege01
2023-08-02,TBR,1,4,4,2,2,8,1,0,3.26,21,22,1.0,Gerrit Cole,colege01
2023-08-07,CHW,-1,4,5,4,2,3,1,1,3.36,21,5,0.0,Gerrit Cole,colege01
2023-08-13,MIA,0,5,6,2,2,6,0,0,3.32,18,12,1.0,Gerrit Cole,colege01
2023-08-19,BOS,-1,5,7,6,1,4,2,0,3.45,12,-7,0.0,Gerrit Cole,colege01
2023-08-25,TBR,1,5,3,1,0,11,1,0,3.39,23,32,1.0,Gerrit Cole,colege01
2023-08-30,DET,1,4,4,2,2,7,2,0,3.49,18,18,1.0,Gerrit Cole,colege01
2023-09-05,DET,1,5,8,1,0,7,0,0,3.4,18,18,1.0,Gerrit Cole,colege01
2023-09-10,MIL,0,4,3,0,0,9,0,0,3.3,21,27,1.0,Gerrit Cole,colege01
